Frequency, Hz	Amplitude, Volts
1.419400000E+9	2.976559000E-5
1.419403333E+9	2.902358000E-5
1.419406667E+9	3.042818000E-5
1.419410000E+9	2.864968000E-5
1.419413333E+9	2.955299000E-5
1.419416667E+9	2.959976000E-5
1.419420000E+9	2.976924000E-5
1.419423333E+9	2.992791000E-5
1.419426667E+9	3.153612000E-5
1.419430000E+9	3.001833000E-5
1.419433333E+9	3.094561000E-5
1.419436667E+9	2.947102000E-5
1.419440000E+9	3.018959000E-5
1.419443333E+9	3.236272000E-5
1.419446667E+9	3.373840000E-5
1.419450000E+9	3.105228000E-5
1.419453333E+9	3.185231000E-5
1.419456667E+9	2.926062000E-5
1.419460000E+9	2.813376000E-5
1.419463333E+9	2.950225000E-5
1.419466667E+9	3.069225000E-5
1.419470000E+9	3.008157000E-5
1.419473333E+9	3.037032000E-5
1.419476667E+9	2.894622000E-5
1.419480000E+9	3.020526000E-5
1.419483333E+9	3.106587000E-5
1.419486667E+9	2.978622000E-5
1.419490000E+9	2.847720000E-5
1.419493333E+9	2.885090000E-5
1.419496667E+9	2.935311000E-5
1.419500000E+9	2.899967000E-5
1.419503333E+9	2.964740000E-5
1.419506667E+9	2.840191000E-5
1.419510000E+9	2.967702000E-5
1.419513333E+9	3.052718000E-5
1.419516667E+9	3.102834000E-5
1.419520000E+9	2.993363000E-5
1.419523333E+9	3.017565000E-5
1.419526667E+9	2.961658000E-5
1.419530000E+9	2.959257000E-5
1.419533333E+9	3.057933000E-5
1.419536667E+9	2.919057000E-5
1.419540000E+9	2.968026000E-5
1.419543333E+9	2.980471000E-5
1.419546667E+9	2.847382000E-5
1.419550000E+9	3.037122000E-5
1.419553333E+9	2.989181000E-5
1.419556667E+9	2.924877000E-5
1.419560000E+9	2.925590000E-5
1.419563333E+9	3.012000000E-5
1.419566667E+9	2.960274000E-5
1.419570000E+9	3.012667000E-5
1.419573333E+9	3.070574000E-5
1.419576667E+9	2.940413000E-5
1.419580000E+9	2.979136000E-5
1.419583333E+9	3.019613000E-5
1.419586667E+9	2.937486000E-5
1.419590000E+9	2.863013000E-5
1.419593333E+9	3.040432000E-5
1.419596667E+9	2.856277000E-5
1.419600000E+9	2.981389000E-5
1.419603333E+9	2.906745000E-5
1.419606667E+9	2.850722000E-5
1.419610000E+9	2.816701000E-5
1.419613333E+9	2.918763000E-5
1.419616667E+9	2.941961000E-5
1.419620000E+9	3.021062000E-5
1.419623333E+9	2.992346000E-5
1.419626667E+9	3.038892000E-5
1.419630000E+9	2.862290000E-5
1.419633333E+9	2.913900000E-5
1.419636667E+9	2.862521000E-5
1.419640000E+9	3.022948000E-5
1.419643333E+9	2.984994000E-5
1.419646667E+9	3.054446000E-5
1.419650000E+9	2.928127000E-5
1.419653333E+9	2.992870000E-5
1.419656667E+9	3.047773000E-5
1.419660000E+9	3.011884000E-5
1.419663333E+9	2.942705000E-5
1.419666667E+9	2.953413000E-5
1.419670000E+9	2.953218000E-5
1.419673333E+9	3.062884000E-5
1.419676667E+9	3.050577000E-5
1.419680000E+9	3.009075000E-5
